name;correspondence_address
Самсунг Электроникс Ко., Лтд., Сувон (KR);
Хуавей Текнолоджис Ко., Лтд, Администрейшн Билдинг Хуавей Текнолоджис Ко., Лтд.Бантиан, Лонгганг Дистрикт, Шенжен, Китай (CN);125009, Москва, а/я 184, для ООО "ППФ "ЮС", С.В.Ловцову 
